date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2013-02-22,143.10000610351562,1.9717999696731567,418,0.0,23.312500000000004,30.3,16.9,66.16666666666667
2013-02-25,142.60000610351562,1.969099998474121,421,0.0,23.1375,29.6,18.2,73.0
2013-02-26,142.89999389648438,1.9804999828338623,422,0.0,23.0,28.7,17.9,73.75
2013-02-27,142.39999389648438,1.982100009918213,423,4.2,21.399999999999995,28.4,17.7,87.08333333333333
2013-02-28,142.64999389648438,1.9744000434875488,424,4.2,22.000000000000004,27.9,18.5,82.29166666666667
2013-03-01,142.89999389648438,1.9776999950408936,425,39.6,19.45,22.4,18.0,94.83333333333331
2013-03-04,145.9499969482422,1.9810999631881714,428,2.4,22.4125,29.7,17.3,80.16666666666667
2013-03-05,140.5,1.9710999727249146,429,1.0,22.67083333333333,29.7,17.6,80.33333333333333
2013-03-06,140.60000610351562,1.962499976158142,430,0.0,23.429166666666664,30.2,18.6,78.95833333333333
2013-03-07,142.4499969482422,1.9707000255584717,431,29.4,22.04583333333333,30.5,17.5,85.04166666666667
2013-03-08,143.35000610351562,1.9594999551773071,432,0.0,22.679166666666664,28.9,17.8,83.29166666666667
2013-03-11,143.0500030517578,1.9419000148773193,435,14.4,21.47083333333333,28.4,18.5,88.5
2013-03-12,141.64999389648438,1.9572999477386475,436,4.0,22.341666666666665,29.9,18.2,84.16666666666667
2013-03-13,140.0500030517578,1.9656000137329102,437,4.6,22.1125,29.6,19.3,86.5
2013-03-14,138.89999389648438,1.971500039100647,438,0.6000000000000001,21.629166666666663,28.9,17.3,87.08333333333333
2013-03-15,136.5,1.972000002861023,439,0.0,22.06666666666668,28.5,17.3,78.5
2013-03-18,133.14999389648438,1.9788000583648682,442,0.0,20.48333333333333,25.4,17.3,85.83333333333333
2013-03-19,133.10000610351562,1.982800006866455,443,0.4,18.083333333333336,24.3,14.8,85.375
2013-03-20,133.60000610351562,1.9825999736785889,444,0.0,19.066666666666663,23.8,15.1,77.54166666666667
2013-03-21,133.75,1.9844000339508057,445,10.2,18.9125,20.7,17.7,94.5
2013-03-22,135.3000030517578,2.0051000118255615,446,0.2,21.412500000000005,27.7,17.1,83.58333333333333
2013-03-25,135.60000610351562,2.006500005722046,449,1.2,21.5125,27.5,18.1,85.16666666666667
2013-03-26,137.60000610351562,2.00600004196167,450,6.6000000000000005,19.875,22.1,18.4,91.75
2013-03-27,136.60000610351562,2.014899969100952,451,24.2,19.95833333333333,23.6,18.2,96.54166666666669
2013-03-28,137.14999389648438,2.010200023651123,452,0.0,20.01904761904762,26.5,15.7,83.0
2013-04-01,138.39999389648438,2.0190000534057617,456,0.2,21.0,27.8,16.6,85.29166666666667
2013-04-02,136.14999389648438,2.0151000022888184,457,16.8,19.891666666666666,24.4,17.2,89.625
2013-04-03,139.4499969482422,2.0185999870300293,458,0.2,19.39166666666668,25.5,15.7,91.54166666666669
2013-04-04,139.5,2.0209999084472656,459,2.4,21.166666666666675,27.0,17.9,88.79166666666667
2013-04-05,140.14999389648438,2.0127999782562256,460,20.0,20.34166666666667,23.6,18.5,94.75
2013-04-08,135.89999389648438,1.983199954032898,463,3.4,21.279166666666665,28.0,18.0,86.66666666666667
2013-04-09,135.39999389648438,1.9896999597549438,464,0.0,19.67499999999999,24.2,16.4,89.45833333333333
2013-04-10,136.0500030517578,1.9805999994277954,465,0.0,19.366666666666664,22.6,16.5,88.91666666666667
2013-04-11,136.8000030517578,1.9731999635696411,466,7.800000000000001,18.766666666666666,21.6,17.2,93.58333333333331
2013-04-12,135.25,1.9747999906539917,467,0.2,20.525,25.9,17.6,91.08333333333331
2013-04-15,134.4499969482422,1.9661999940872192,470,0.0,19.995833333333334,26.0,15.3,78.375
2013-04-16,135.85000610351562,1.9980000257492065,471,0.2,18.441666666666663,25.2,12.4,68.33333333333333
2013-04-17,136.10000610351562,1.9845999479293823,472,0.0,18.03333333333333,25.0,10.6,66.66666666666667
2013-04-18,138.89999389648438,1.9970999956130981,473,0.0,17.662500000000005,25.4,10.7,73.70833333333333
2013-04-19,141.64999389648438,1.9816999435424805,474,0.0,18.96666666666666,26.2,13.6,75.125
2013-04-22,142.5,2.005199909210205,477,0.0,17.004166666666663,23.6,10.8,68.0
2013-04-23,137.5500030517578,2.015899896621704,478,0.0,17.187499999999996,23.6,11.3,67.04166666666667
2013-04-24,138.39999389648438,2.018399953842163,479,0.0,17.720833333333335,23.6,13.0,70.83333333333333
2013-04-25,137.1999969482422,2.008699893951416,480,0.0,17.775,22.2,12.0,69.45833333333333
2013-04-26,133.89999389648438,1.9993000030517578,481,0.0,17.566666666666666,24.8,11.8,70.70833333333333
2013-04-29,133.60000610351562,1.993299961090088,484,0.0,18.008333333333333,23.5,12.2,72.75
2013-04-30,134.9499969482422,2.00570011138916,485,0.0,18.820833333333333,26.9,12.0,75.25
2013-05-01,134.5,2.001499891281128,486,0.0,20.42083333333333,27.7,13.7,68.29166666666667
2013-05-02,138.9499969482422,2.001699924468994,487,0.0,20.070833333333333,26.3,13.4,71.04166666666667
2013-05-03,140.3000030517578,2.0069000720977783,488,0.0,19.729166666666668,27.2,12.9,70.70833333333333
2013-05-06,141.35000610351562,2.0053999423980713,491,0.0,19.6125,24.2,13.8,67.54166666666667
2013-05-07,142.3000030517578,2.0058999061584473,492,0.0,16.183333333333334,22.7,9.6,78.625
2013-05-08,144.14999389648438,2.0058000087738037,493,0.0,16.21666666666667,23.1,10.2,57.54166666666666
2013-05-09,145.8000030517578,2.000699996948242,494,0.0,15.675,23.6,8.2,69.58333333333333
2013-05-10,143.8000030517578,2.0092999935150146,495,0.0,17.55,24.6,11.1,69.375
2013-05-13,144.5500030517578,2.0137999057769775,498,0.2,17.2375,24.7,10.4,73.33333333333333
2013-05-14,141.64999389648438,2.006200075149536,499,0.0,19.175,27.4,12.2,73.33333333333333
2013-05-15,138.0,2.018399953842163,500,0.0,19.566666666666663,27.1,13.1,71.29166666666667
2013-05-16,138.35000610351562,2.01990008354187,501,0.0,19.312500000000004,25.9,13.3,74.875
2013-05-17,135.60000610351562,2.022599935531616,502,0.0,19.26666666666667,25.0,15.4,79.33333333333333
2013-05-20,133.85000610351562,2.0311999320983887,505,0.0,18.820833333333336,25.6,13.1,81.875
2013-05-21,132.6999969482422,2.0357000827789307,506,1.2000000000000002,20.02916666666667,27.0,16.0,78.04166666666667
2013-05-22,128.4499969482422,2.0327999591827393,507,0.0,20.2375,26.1,15.7,73.95833333333333
2013-05-23,130.0500030517578,2.045599937438965,508,5.4,18.28333333333333,22.5,14.5,82.375
2013-05-24,127.25,2.041100025177002,509,5.800000000000001,15.658333333333331,19.8,13.0,92.58333333333331
2013-05-28,126.44999694824219,2.053499937057495,513,12.000000000000002,13.9125,18.4,10.2,98.20833333333331
2013-05-29,127.5999984741211,2.0738000869750977,514,12.2,15.133333333333336,16.7,13.9,98.33333333333331
2013-05-30,125.8499984741211,2.107300043106079,515,3.2,15.633333333333333,18.4,13.9,96.375
2013-05-31,127.05000305175781,2.1077001094818115,516,0.4,16.366666666666667,22.9,12.3,88.79166666666667
2013-06-03,129.0,2.089900016784668,519,0.4,16.5375,19.2,15.3,97.125
2013-06-04,127.6500015258789,2.121299982070923,520,0.2,17.025,22.6,13.7,85.125
2013-06-05,127.44999694824219,2.124000072479248,521,0.0,16.1,22.6,10.9,81.625
2013-06-06,129.4499969482422,2.1250998973846436,522,0.2,16.104166666666668,23.6,11.2,88.04166666666667
2013-06-07,126.94999694824219,2.1273999214172363,523,0.2,17.991666666666667,24.9,11.0,81.125
2013-06-10,128.75,2.1273999214172363,526,0.0,16.691666666666666,23.5,11.3,82.125
2013-06-11,127.69999694824219,2.1273999214172363,527,0.2,16.845833333333335,24.0,10.9,82.79166666666667
2013-06-12,122.75,2.1273999214172363,528,0.0,18.1375,24.8,12.4,76.5
2013-06-13,123.69999694824219,2.1526999473571777,529,0.0,18.941666666666663,25.3,13.9,72.91666666666667
2013-06-14,122.25,2.11680006980896,530,0.0,17.8625,24.8,12.3,77.5
2013-06-17,122.3499984741211,2.096400022506714,533,5.800000000000001,17.125,20.9,14.5,88.58333333333333
2013-06-18,122.0,2.167799949645996,534,0.4,16.275000000000002,22.9,10.6,85.45833333333333
2013-06-19,122.75,2.1775999069213867,535,0.2,16.73333333333333,24.9,9.5,78.5
2013-06-20,117.6500015258789,2.2242000102996826,536,0.0,17.616666666666667,25.3,11.2,71.58333333333333
2013-06-21,118.69999694824219,2.25570011138916,537,0.0,17.825,23.7,12.0,73.45833333333333
2013-06-24,119.44999694824219,2.2385001182556152,540,0.2,17.370833333333334,21.8,14.3,89.79166666666667
2013-06-25,120.25,2.225600004196167,541,0.0,17.672727272727272,22.7,13.9,83.4090909090909
2013-06-26,118.1500015258789,2.210200071334839,542,0.0,18.625,24.9,13.8,78.91666666666667
2013-06-27,121.5999984741211,2.186199903488159,543,0.4,18.758333333333333,24.1,15.0,83.54166666666667
2013-06-28,120.0,2.1958999633789062,544,0.6000000000000001,18.67916666666667,25.4,14.7,89.125
2013-07-01,121.19999694824219,2.189199924468994,547,11.6,18.68333333333334,24.3,14.4,84.125
2013-07-02,124.0999984741211,2.223099946975708,548,0.0,17.0125,23.9,12.7,84.33333333333333
2013-07-03,121.1500015258789,2.2472000122070312,549,0.0,16.229166666666668,22.8,13.3,81.70833333333333
2013-07-05,120.94999694824219,2.246000051498413,551,0.0,16.09583333333333,23.6,10.4,75.95833333333333
2013-07-08,123.25,2.247499942779541,554,0.0,15.975000000000003,24.6,7.1,61.75
2013-07-09,122.05000305175781,2.2614998817443848,555,0.0,16.64166666666667,23.8,10.2,76.83333333333333
2013-07-10,121.44999694824219,2.2541000843048096,556,0.0,16.28333333333333,23.4,12.4,79.20833333333333
2013-07-11,123.1500015258789,2.270400047302246,557,0.0,14.941666666666668,21.5,10.0,72.875
2013-07-12,119.1500015258789,2.252000093460083,558,0.0,15.300000000000002,23.4,8.7,72.875
2013-07-15,122.9000015258789,2.261899948120117,561,2.4,18.070833333333333,24.3,12.7,79.125
2013-07-16,125.5999984741211,2.2163000106811523,562,0.0,17.641666666666666,24.2,11.2,70.95833333333333
2013-07-17,127.55000305175781,2.248800039291382,563,0.0,16.91666666666667,24.4,9.2,64.41666666666667
2013-07-18,127.1500015258789,2.222899913787842,564,0.0,17.216666666666665,25.9,8.5,64.625
2013-07-19,122.5999984741211,2.2218000888824463,565,1.6,19.012500000000003,26.2,12.2,71.95833333333333
2013-07-22,125.30000305175781,2.244800090789795,568,0.0,22.266666666666666,28.3,16.8,55.875
